Algorithm,N,Status,Solved,Steps,Conflicts,TimeSeconds,PeakMemoryMB,ImagePath
Exhaustive Depth-First Search,10,SOLVED,True,103,0,0.000212,0.000870,outputs\board_images\dfs_nqueens_n10.svg
Exhaustive Depth-First Search,30,TIMEOUT,False,1345759,N/A,15.000121,0.003859,N/A
Exhaustive Depth-First Search,50,TIMEOUT,False,583388,N/A,15.000146,0.006550,N/A
Exhaustive Depth-First Search,100,TIMEOUT,False,442347,N/A,15.000646,0.013355,N/A
Exhaustive Depth-First Search,200,TIMEOUT,False,288314,N/A,15.000501,0.030441,N/A
Exhaustive Depth-First Search,500,TIMEOUT,False,163063,N/A,15.002172,0.123356,N/A
Local Greedy Search (Hill Climbing),10,SOLVED,True,711,0,0.030438,0.005112,outputs\board_images\greedy_nqueens_n10.svg
Local Greedy Search (Hill Climbing),30,SOLVED,True,58,0,0.003155,0.006615,N/A
Local Greedy Search (Hill Climbing),50,SOLVED,True,75,0,0.005537,0.008614,N/A
Local Greedy Search (Hill Climbing),100,SOLVED,True,157,0,0.024103,0.013657,N/A
Local Greedy Search (Hill Climbing),200,SOLVED,True,156,0,0.051598,0.023567,N/A
Local Greedy Search (Hill Climbing),500,SOLVED,True,399,0,1.518789,0.070854,N/A
